ቀን የሰጠው  ቅል, ድንጋይ ይሰብራል።, 0
ስራ ለሰሪው, እሾህ ላጣሪው።, 0
ፍርድ አያቅ ዳኛ, ተገን አያውቅ እረኛ።, 0
የሞተ አይመለስ, የፈሰሰ አይታፈስ።, 0
ብር ላበደረ  ጠጠር, እህል ላበደረ አፈር።, 0
በእውቀቱ  የተመካ,  ጥንቸል ነው።, 0
ከመጠኑ ያለፈ ደግነት, ሙልጭ ያወጣል።, 0
ከዐይን, ጀሮ አይታመንም።, 0
ሳያረጋግጡ ወሬ, ሳይገድሉ ጎፈሬ።, 0
ሳይገድሉ ጎፈሬ, ሳያጠኑ ቅኔ, 0
የምትለብሰው ቀሚስ ሳይኖራት, የምትከናነበው  ኩታ አማራት።, 0
ሰነፍ እረኛ, ከሩቅ ይምልሳል።, 0
እውነትና  ንጋት, እያደረ ይገለጣል።, 0
ከሴት የመከረ, በሳር ያሰረ።, 0
ያቡነ ዘሰማያት ጦር,  ሲወረወር እንጅ ሲወጋ አይታይም።, 0
አንገት የተፈጠረው, አዙሮ ለማየት ነው።, 0
ያልተማረ ሰው ሲናገር, አጥንት ይሰብራል።, 0
ብርሌ ከነቃ, አይሆንም ዕቃ።, 0
